,cpu_percent,cpu_times_user,cpu_times_system,cpu_times_children_user,cpu_times_children_system,memory_percent,disk_usage_total,disk_usage_used,disk_usage_free,memory_full_info_rss,memory_full_info_vms,memory_full_info_pfaults,memory_full_info_pageins,memory_full_info_uss,time_period
0,0.0,45.054369792,1.415807232,0.0,0.0,4.388070106506348,499963174912.0,359991820288.0,126960041984.0,753864704.0,7578263552.0,251724.0,0.0,724385792.0,36222711185.0
1,100.2,82.2177792,2.431046656,0.0,0.0,4.317641258239746,499963174912.0,359992868864.0,126958993408.0,741765120.0,7579312128.0,254392.0,1.0,710688768.0,74344069016.0
2,100.2,119.831576576,3.44752256,0.0,0.0,4.302549362182617,499963174912.0,359992864768.0,126958997504.0,739172352.0,7579312128.0,256393.0,1.0,708067328.0,112911374670.0
3,100.1,158.323687424,4.532686848,0.0,0.0,4.342460632324219,499963174912.0,359985610752.0,126966251520.0,746029056.0,7579312128.0,258439.0,1.0,714907648.0,152445375017.0
4,100.1,197.336072192,5.659120128,0.0,0.0,4.384255409240723,499963174912.0,359987818496.0,126964043776.0,753209344.0,7579312128.0,260389.0,1.0,722063360.0,192561855512.0
5,100.1,236.468158464,6.796580864,0.0,0.0,4.408359527587891,499963174912.0,359989919744.0,126961942528.0,757350400.0,7579312128.0,261826.0,1.0,726192128.0,232805094932.0
6,100.2,275.3896448,7.890759168,0.0,0.0,4.444122314453125,499963174912.0,359993081856.0,126958780416.0,763494400.0,7579312128.0,263691.0,1.0,732336128.0,272750560926.0
7,100.2,314.279297024,8.9709312,0.0,0.0,4.4944047927856445,499963174912.0,359994130432.0,126957731840.0,772132864.0,7579312128.0,266157.0,1.0,740974592.0,312635080100.0
8,100.3,345.977683968,9.920080896,0.0,0.0,4.540133476257324,499963174912.0,359983714304.0,126968147968.0,779988992.0,7579615232.0,268425.0,1.0,748810240.0,345187671162.0
9,100.5,366.236925952,10.408300544,0.0,0.0,4.613971710205078,499963174912.0,359965528064.0,126986334208.0,792674304.0,7588003840.0,272127.0,1.0,761229312.0,365829266511.0
10,100.5,386.211414016,10.8866048,0.0,0.0,4.688477516174316,499963174912.0,359965523968.0,126986338304.0,805474304.0,7596654592.0,275591.0,1.0,768872448.0,386174886966.0
11,100.5,405.941321728,11.3605888,0.0,0.0,4.752588272094727,499963174912.0,359965532160.0,126986330112.0,816488448.0,7597703168.0,278624.0,1.0,778993664.0,406270982558.0
12,100.6,425.600876544,11.833695232,0.0,0.0,4.7916412353515625,499963174912.0,359965466624.0,126986395648.0,823197696.0,7597965312.0,280443.0,1.0,785547264.0,426285742777.0
13,100.6,445.239230464,12.30777856,0.0,0.0,4.826664924621582,499963174912.0,359965466624.0,126986395648.0,829214720.0,7597965312.0,282238.0,1.0,791564288.0,446279542493.0
14,100.6,464.906944512,12.778571776,0.0,0.0,4.864811897277832,499963174912.0,359965659136.0,126986203136.0,835768320.0,7598227456.0,284182.0,1.0,798117888.0,466293190332.0
15,100.6,484.540874752,13.24929024,0.0,0.0,4.9045562744140625,499963174912.0,359961731072.0,126990131200.0,842596352.0,7598227456.0,286146.0,1.0,804945920.0,486269309252.0
16,100.7,504.260460544,13.724120064,0.0,0.0,4.934525489807129,499963174912.0,359961731072.0,126990131200.0,847745024.0,7598489600.0,287762.0,1.0,810094592.0,506328260598.0
17,100.7,523.791597568,14.196916224,0.0,0.0,4.967594146728516,499963174912.0,359961731072.0,126990131200.0,853426176.0,7599087616.0,289611.0,1.0,815775744.0,526193223391.0
